GEOID,MedianSqFtVal_0100_Land,MedianSqFtVal_0101_Land,MedianSqFtVal_010C_Land,MedianSqFtVal_0200_Land,MedianSqFtVal_0300_Land,MedianSqFtVal_0400_Land,MedianSqFtVal_0500_Land,MedianSqFtVal_010E_Land,MedianSqFtVal_010D_Land
1400000US06037125101,261.5013538,282.0411435,141.784199,181.1473872,155.8231004,64.51795535,103.0456835,238.2504748,
1400000US06037125102,237.250753,247.6343154,146.3645963,189.4288585,71.48763904,55.26902455,87.76099896,290.4831456,
1400000US06037125200,282.737426,286.0721912,102.12262,143.5825172,162.3295622,149.0004211,111.549814,286.4556168,
1400000US06037125310,243.4295416,236.9912768,173.913634,104.3582177,84.14038891,129.8785218,95.89539648,,
1400000US06037125321,219.2064465,212.9076091,227.0658121,126.7835975,118.5891892,142.2219127,95.87257048,186.3256243,
1400000US06037125322,233.5880534,110.6938776,,175.0008361,322.0738413,97.19379624,150.8247844,,
1400000US06037125402,237.2527881,432.5745613,194.7604651,187.6360765,242.1786667,102.7537325,61.13392213,56.42121212,
1400000US06037125403,676.5243128,,203.1113833,396.5413031,77.0547789,inf,43.71162062,258.9051205,
1400000US06037125404,,,99.41130435,311.7147708,223.1708189,68.35272989,44.37958798,181.3033023,
1400000US06037125501,231.5502954,287.9188822,216.3689614,165.5960738,273.7152133,197.5623673,71.13556258,,
1400000US06037125502,278.3292116,274.0567118,176.8810289,189.5373648,179.3896907,136.879441,90.13922658,218.5089663,
1400000US06037125600,215.8283737,287.0728509,76.04740512,148.2981221,173.2748593,205.4524495,74.68303781,291.3248987,
1400000US06037127102,155.3953777,152.8963842,75.35266604,284.2953488,91.39564867,,93.62737224,,
1400000US06037127103,149.4051402,159.435548,92.90708215,66.54427947,106.461985,36.35687071,39.94618713,,
1400000US06037127104,140.430502,137.9392635,120.3082071,164.7447427,,,33.09945689,83.48320896,
1400000US06037127210,138.7315813,146.4227344,88.47480786,138.0340681,169.6359964,69.87968384,66.28149138,106.2380952,
1400000US06037127220,146.6655949,135.5516685,86.71381257,78.80304956,29.41078838,71.7343219,42.95354931,,
1400000US06037127300,166.1801948,137.9705257,84.89399745,154.9057592,,133.7351093,112.9475187,226.3361702,
1400000US06037127400,170.5291829,139.9160975,115.7881326,136.3129676,92.51350129,143.3076856,84.92740593,,
1400000US06037127520,,,60.07772021,,,,32.53600891,,
1400000US06037127603,133.9886605,174.5560787,52.82162961,78.09558508,65.59049904,16.54058782,63.31601685,139.140458,
1400000US06037127604,152.7915875,120.7255521,77.01283547,,129.187133,116.4243636,44.1630094,132.2018482,
1400000US06037127605,156.635736,171.712938,76.35409977,110.4161604,208.2712249,103.9582418,59.04200642,,
1400000US06037127606,179.3668582,152.2712692,164.0672154,126.6738907,96.24396122,52.92865684,95.81920347,,
1400000US06037127711,165.5501783,170.0357593,,132.8846293,78.66363277,168.3495146,63.97457108,,
1400000US06037127712,169.6047304,137.3533135,160.6488851,86.69499264,,51.3479583,112.3244124,,
1400000US06037127803,128.8852201,111.8125,,154.7349155,152.4455575,49.54155731,84.77945706,149.4961484,
1400000US06037127804,140.3800866,156.1580514,104.7486631,180.3821785,194.7742891,146.0969858,73.43096234,,
1400000US06037127805,158.7133052,162.4559031,,183.802662,73.27430556,116.0896961,91.16532905,,
1400000US06037127806,154.9933294,118.0768849,70.94623656,159.128562,175.4342885,59.43002222,81.09106796,,
1400000US06037127910,146.4177513,151.6776738,119.7571644,143.1884669,86.36184229,114.9026001,72.67415779,41.2293182,
1400000US06037127920,162.6568452,160.9285222,81.8998358,97.61189424,107.7629386,116.6018193,72.18339343,101.2642857,
1400000US06037128101,171.1320938,153.7735086,165.9118437,152.1060606,69.19662921,136.1730488,69.53814734,111.5143791,
1400000US06037128102,142.8294083,136.6850143,41.13333333,98.01050621,203.654238,155.9292703,78.34643344,,239.1369819
1400000US06037128210,169.530956,779.9426752,56.76436782,145.6094159,149.0444444,141.0187789,94.24540074,,
1400000US06037128220,193.6570378,134.2323682,67.44240603,171.5296403,117.4971561,126.8229251,83.18356643,60.25685426,
1400000US06037128302,133.4447323,133.1401452,74.11469064,172.1466943,154.4982699,172.1315419,74.67367823,,
1400000US06037128303,209.4021012,,67.48777254,167.3636878,43.0011236,145.591718,71.93081623,,
1400000US06037128400,254.3839079,292.2195893,205.1586592,130.1967377,25.47727273,176.1892298,131.6000755,,
1400000US06037128500,238.8058453,226.1205549,208.1584302,164.5436484,201.5965564,70.2710873,69.2979716,212.5272243,
1400000US06037128601,234.0958304,218.377164,181.6384058,156.1183543,123.6055143,135.7811551,91.67197917,15.68100358,
1400000US06037128602,219.64125,200.7568367,215.1430855,149.7427885,222.1055556,91.21530864,73.65876622,176.3516654,
1400000US06037128703,246.5851064,228.2549454,179.0016807,55.64802956,,87.67609694,48.62666247,225.4605156,
1400000US06037128704,223.8584299,218.0338856,84.81384819,105.4189676,,,97.26347754,216.493847,
1400000US06037128801,201.532519,247.0443042,193.3099047,,165.6325879,213.8136156,76.54630944,147.6784091,
1400000US06037128802,258.9136732,236.2163212,194.9259615,162.2495046,187.6632518,116.0566697,93.67628099,94.81666667,
1400000US06037128910,213.1879632,222.0726164,200.3717348,273.6194805,322.4730832,121.6347088,79.93087924,272.6396995,
1400000US06037131021,133.1853137,154.8529654,,184.9599332,,,110.853126,,
1400000US06037131022,151.4396552,187.8049325,78.50189036,224.7149306,,223.2146393,74.73436807,168.2311715,
1400000US06037131023,178.9723331,169.7926829,133.8476316,73.2186904,148.9491274,,48.1381977,129.9317778,
1400000US06037131024,168.5344246,150.7840739,111.3828968,102.4686683,131.223535,56.52361996,62.11818354,91.61383618,
1400000US06037131100,183.6806084,187.0762447,,49.41680672,,,129.2889145,,
1400000US06037131200,195.1115091,190.8092121,,,,,53.46548144,,
1400000US06037131300,170.5265583,208.7180392,,,,,,,
1400000US06037131400,155.4778571,181.8183126,91.32162432,173.0948617,155.1564306,,34.12209302,,
1400000US06037131600,166.0568065,164.6768479,97.21175637,116.404008,,,128.7731435,,
1400000US06037131701,115.0855873,94.820448,112.6105716,76.6581002,151.0915751,59.72783445,29.11780754,,149.1490995
1400000US06037131702,161.1617647,147.8945506,82.46373626,134.6015458,,,20.68574959,,
1400000US06037131801,170.6531932,223.2954265,64.75875281,169.8514404,,15.15113385,62.17852643,,
1400000US06037131802,166.3315789,153.7775758,63.71760451,173.005452,,,83.08808197,,
1400000US06037131900,192.0704626,217.5567301,149.7890445,192.0537062,164.3957735,,37.95139939,,
1400000US06037132001,180.8707483,183.2134363,84.84187408,221.2334396,,,79.37345541,,
1400000US06037132002,199.8222591,185.5677332,87.02984496,86.45838509,,,76.21645022,,
1400000US06037132101,157.9018049,214.5704776,142.4896594,232.6571136,108.0114251,105.3868544,47.78099213,,
1400000US06037132102,153.9152281,129.5759577,100.7474684,172.0772783,41.44774563,130.2993534,73.98271447,207.2910569,203.9725625
1400000US06037132301,186.9713262,141.794948,97.6747905,,,,28.05711533,48.21895012,
1400000US06037132302,179.4239757,203.8842043,,198.4396787,,,,,
1400000US06037132501,184.7141286,172.9585007,112.334561,267.2451923,103.2531652,64.07864478,63.57755166,,
1400000US06037132502,158.8227306,246.2429022,98.73245252,,,,8.162888155,,
1400000US06037132700,197.1663129,190.6221122,,122.4527657,,,61.08589835,,
1400000US06037132900,188.064342,176.8715716,,29.3445404,,,,,
1400000US06037133000,168.4426661,200.6958938,140.015229,130.3498683,,,,,
1400000US06037133101,190.4911705,175.0544478,,,,,,18.99574015,
1400000US06037133102,152.0250622,145.6384673,106.0743384,112.5673018,235.3509794,,79.21230267,147.9211847,
1400000US06037134001,169.1245865,141.7607602,78.14163472,65.40649259,,26.97090517,41.89991227,37.93333333,
1400000US06037134002,166.1013793,170.4707569,93.6497755,,,,50.19586748,,
