GEOID,Median_0100,Median_0101,Median_010C,Median_0200,Median_0300,Median_0400,Median_0500,Median_010E,Median_010D
1400000US06037601600,225.9142197,377.6495374,284.0152549,224.6014147,190.0302365,247.6995161,178.9150225,462.5152544,
1400000US06037601700,637.8350719,637.45533,573.6440099,424.306997,555.1261785,597.9285701,536.6988141,,
1400000US06037601801,867.9780264,998.8955941,,866.5978694,966.9811645,764.4744906,1036.407411,,
1400000US06037601802,756.450438,640.6502761,721.5235554,772.1710845,430.3018238,776.9987674,612.2415631,,
1400000US06037601900,649.6156748,602.8277375,417.9126522,611.067241,617.9873279,716.5639328,839.2790223,,
1400000US06037602002,261.1001671,254.5127901,190.5525129,253.3640897,246.9898192,219.9391064,361.676582,,253.5477673
1400000US06037602003,204.1574785,193.0974638,252.6349469,190.9529351,224.1349014,228.5867067,351.2419593,,
1400000US06037602103,475.182112,,319.7274778,446.9559475,451.8374832,433.6833912,479.4064204,,582.0291619
1400000US06037602104,713.0659544,702.8746919,585.3932887,710.7666282,770.3366793,654.0539163,648.8405439,,447.204057
1400000US06037602105,548.9275337,384.3706219,536.0587927,482.2760812,404.0534768,447.8109863,340.8558767,,
1400000US06037602106,243.9766426,303.2249621,291.6540483,407.9581401,382.4755194,472.2469247,410.4851489,,
1400000US06037602201,459.8564395,535.8574023,,680.1857641,794.0471942,710.7290974,757.6450535,,
1400000US06037602202,450.6877327,515.7383004,405.992596,491.6840062,355.2214644,415.5537939,448.9024389,,274.1616011
1400000US06037602301,373.212735,390.4629326,622.3267083,358.7796052,519.412163,617.4208155,367.0491841,,
1400000US06037602302,312.3121859,316.4551341,283.8211462,,,,,,379.6994222
1400000US06037602402,403.1063822,493.5384392,548.2140179,466.309128,407.6713177,568.3285911,476.1913303,,478.8813338
1400000US06037602403,582.8728517,584.8599252,465.8073,587.1538913,601.5235982,513.3415693,521.1157162,,
1400000US06037602404,458.2214507,400.1546092,317.6706079,466.2906306,475.5094962,583.2665099,394.3142597,,
1400000US06037602504,312.0291564,322.1653916,354.4662355,325.8566837,181.3027667,391.0269089,305.7946012,,226.9403041
1400000US06037602505,179.6154356,329.4521207,209.4441918,286.2289566,169.1450779,174.8346166,160.7615926,,106.4712549
1400000US06037602506,662.9168176,,488.9464547,627.7412122,388.5065167,793.0811455,560.5173975,468.0146887,440.6184113
1400000US06037602507,602.2672783,527.2997693,690.0933128,666.6594842,642.2030532,811.7082511,686.8175008,,765.5090214
1400000US06037602510,266.7633699,187.5118748,136.4078331,239.9217928,263.7765068,180.9617401,230.0267091,,437.2120005
