TRACT_FIPS,GEOID,FIPS,Median_0,Median_1,Median_2,Median_3,Median_4,Median_5,Median_6,Median_7,Median_8
401312,1400000US06037401312,06037401312,317.5066058208089,572.1127588221626,395.51297068080316,474.5331782029534,,,,192.65798323733438,387.07865779430966
401500,1400000US06037401500,06037401500,352.3580396877386,504.9542762194052,501.1681881463386,383.79670401629835,,,511.4881755658581,375.8713093799331,317.7841623862221
401601,1400000US06037401601,06037401601,434.26908269393056,425.01306134462857,458.97381838769155,,,,523.3680131745058,742.4452311922456,471.0162462458687
401602,1400000US06037401602,06037401602,294.9152693721775,208.12294412850588,508.4436850748767,,,,377.05888941666586,130.72250000606442,403.358488057617
401705,1400000US06037401705,06037401705,437.58003585448733,540.8986937944302,318.8836342212297,,,,,270.3934669855495,497.3122230955849
401706,1400000US06037401706,06037401706,737.7302695732664,690.3189223637664,840.412299870005,812.0077092594337,,,,898.6209117028567,886.0542621870364
401707,1400000US06037401707,06037401707,399.9805120567921,531.7931926092381,514.1773329095976,369.46460366932234,,,637.3722725364959,493.63450249825746,269.11525603731263
401801,1400000US06037401801,06037401801,467.51736215121656,935.5396444001274,922.5061175400347,1114.90689591519,,,760.4092904796317,187.548850000088,337.03893921041276
401802,1400000US06037401802,06037401802,324.7713980886301,621.5766740338834,686.304435856726,337.235566145747,,,572.4033983661334,332.15136974401184,449.0507586093883
401901,1400000US06037401901,06037401901,128.5520039577795,385.6112724690022,451.4687725912002,468.5760351696953,,,711.5502251837817,488.1369774709252,74.49810589269332
401902,1400000US06037401902,06037401902,263.3074066798607,201.56807556275115,205.6263833229088,217.15499503152478,,,253.07534050524006,189.95218781400004,262.3754692086575
402001,1400000US06037402001,06037402001,270.6635180869362,353.02233176146615,362.6844034628241,317.7449316122878,,,,,94.17213188480144
402002,1400000US06037402002,06037402002,250.9154113010315,472.2384646400628,469.35573681830294,505.78768068410676,,,,409.39419563317324,264.1553851862717
402101,1400000US06037402101,06037402101,500.8818350689423,469.28917734320027,497.8581944137581,593.4706013176188,,,,632.7687443553923,423.76932271023196
402102,1400000US06037402102,06037402102,256.3771874352957,450.2270511657375,437.85441018145195,368.75268590635494,,,,432.3925347255002,309.7937659837936
402200,1400000US06037402200,06037402200,442.6785167747661,552.3364320462638,505.7684903691545,707.0323485577874,,,,560.970337345673,490.67558878110646
402301,1400000US06037402301,06037402301,308.23784390882224,622.6967803733247,,,,,,172.88063034579056,280.3609065397431
402303,1400000US06037402303,06037402303,546.8729632653457,611.0130758323977,576.7377748098554,485.8349392149592,,,,647.610777045385,531.6695455261396
402304,1400000US06037402304,06037402304,328.887172795528,307.4908484698494,290.7414894891512,157.36066971893527,,,500.78357508929565,412.2002949712913,275.47671928930157
402403,1400000US06037402403,06037402403,316.354200311309,710.7548456875802,1371.4559534630073,1322.3700940270924,,,,,932.8159101329575
402404,1400000US06037402404,06037402404,647.5766256078807,555.5968346238488,561.2383560082777,,,,,457.64130126932787,753.9544114090165
