GEOID,Median_Housing_Price_2021
1400000US06037231500,620000
1400000US06037231601,579800
1400000US06037231602,547900
1400000US06037231603,647200
1400000US06037231710,NA
1400000US06037231720,395500
1400000US06037231800,540100
1400000US06037231901,443000
1400000US06037231902,474700
1400000US06037232110,405600
1400000US06037232120,471200
1400000US06037232200,505800
1400000US06037232300,494500
1400000US06037232401,541300
1400000US06037232402,556100
1400000US06037232500,501600
1400000US06037232601,437800
1400000US06037232602,562500
1400000US06037232701,547000
1400000US06037232702,556300
1400000US06037232800,496000
1400000US06037234001,838400
1400000US06037234002,640600
1400000US06037234200,759400
1400000US06037234301,838100
1400000US06037234302,692700
1400000US06037234501,596000
1400000US06037234502,657600
1400000US06037234600,634800
1400000US06037234700,501000
1400000US06037234800,470400
1400000US06037234901,NA
1400000US06037234902,539200
1400000US06037235100,790700
1400000US06037235201,516900
1400000US06037235202,562700
1400000US06037236001,695900
1400000US06037236101,682900
1400000US06037236102,452000
1400000US06037236203,NA
1400000US06037236204,NA
1400000US06037236205,NA
1400000US06037236206,NA
1400000US06037236400,929800
1400000US06037237101,602100
1400000US06037237102,459200
1400000US06037237201,432700
1400000US06037237202,478400
1400000US06037237300,486000
1400000US06037237401,435700
1400000US06037237402,450900
1400000US06037237500,450900
1400000US06037237600,379200
1400000US06037237710,336100
1400000US06037237720,370100
1400000US06037237800,476700
1400000US06037237900,521800
1400000US06037238000,5.00E+05
1400000US06037238100,571300
1400000US06037238200,445400
1400000US06037238310,427300
1400000US06037238320,5.00E+05
1400000US06037238400,575200
1400000US06037239201,491700
1400000US06037239202,592000
1400000US06037239310,446400
1400000US06037239320,567300
1400000US06037239330,406500
1400000US06037239501,372700
1400000US06037239502,463100
1400000US06037239601,435500
1400000US06037239602,428700
1400000US06037239701,422200
1400000US06037239702,456300
1400000US06037239801,440400
1400000US06037239802,477600
1400000US06037240010,391400
1400000US06037240020,425400
1400000US06037240200,370100
1400000US06037240301,490700
1400000US06037240302,633400
1400000US06037240401,455600
1400000US06037240402,387800
1400000US06037240500,437300
1400000US06037240600,418200
1400000US06037240700,417600
1400000US06037240800,404900
1400000US06037240901,414400
1400000US06037240902,368200
1400000US06037241001,443800
1400000US06037241002,442600
1400000US06037241110,438400
1400000US06037241120,415800
1400000US06037241201,439700
1400000US06037241202,451900
1400000US06037241300,470800
1400000US06037241400,414900
1400000US06037242000,421300
1400000US06037242100,NA
1400000US06037242201,400400
1400000US06037242202,4.00E+05
1400000US06037242300,426400
1400000US06037242600,416700
1400000US06037242700,417700
1400000US06037243001,381800
1400000US06037243002,380900
1400000US06037243100,363500
1400000US06037261102,2000001
1400000US06037261103,2000001
1400000US06037261104,2000001
1400000US06037261200,1705300
1400000US06037262100,2000001
1400000US06037262200,2000001
1400000US06037262301,2000001
1400000US06037262302,2000001
1400000US06037262303,2000001
1400000US06037262400,2000001
1400000US06037262501,2000001
1400000US06037262601,2000001
1400000US06037262604,2000001
1400000US06037262704,2000001
1400000US06037262706,2000001
1400000US06037262802,2000001
1400000US06037264000,2000001
1400000US06037264102,816800
1400000US06037264103,808200
1400000US06037264303,718100
1400000US06037264304,1205900
1400000US06037264305,2000001
1400000US06037264306,1242400
1400000US06037265100,2000001
1400000US06037265201,1555800
1400000US06037265203,1154000
1400000US06037265204,686700
1400000US06037265301,NA
1400000US06037265303,671500
1400000US06037265304,NA
1400000US06037265306,NA
1400000US06037265307,NA
1400000US06037265410,1842300
1400000US06037265420,2000001
1400000US06037265521,NA
1400000US06037265522,687500
1400000US06037265523,886900
1400000US06037265524,846200
1400000US06037265601,1402500
1400000US06037265602,1204900
1400000US06037265701,2000001
1400000US06037265702,1633000
1400000US06037267101,906400
1400000US06037267102,967100
1400000US06037267201,977600
1400000US06037267202,1199000
